1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,class
15,0,0,0,0,0,0,0,0,0,0,1,14,0,0,11,60,2,6,83,2,189,200,215,72,169,601,462,253,782,790,296,665,1138,1276,1208,1180,2521,1208,2472,2188,1102,2996,2495,2060,1491,864,1162,999,582,1618,711,452,361,258,222,151,143,99,70,518,23,2,4,37,1,1,68,19,26,183,37,117,0,0,0,5,1,0,0,25,0,0,0,126,0,46,0,0,0,2,0,0,0,0,0,6,0,0,0,106,0,0,45,6,0,0,0,0,0,78,0,2,10,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,57,0,0,0,0,0,0,2,0,0,50,0,0,0,0,0,0,0,2,0,477,0,0,0,0,1066,0,0,0,0,0,0,0,6,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,13,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,1,0,0,0,2,13,8,8,0,1,10,47,6,7,98,3,143,106,193,109,167,704,498,204,764,935,282,651,1178,1289,1308,1170,2411,1303,2277,2065,1131,2565,2814,2245,1341,746,1182,1149,585,1873,719,514,438,233,176,137,159,34,31,504,5,2,6,47,0,2,36,13,33,116,33,90,0,0,0,12,2,0,0,11,0,0,0,76,0,68,0,0,0,0,0,0,0,0,0,15,1,0,0,80,0,0,19,9,0,0,0,0,0,66,0,2,14,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,0,0,0,542,0,0,0,0,906,0,0,0,0,0,0,0,16,0,0,0,0,0,0,359,0,0,0,0,1,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,15,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,9,14,9,18,7,1,4,18,20,59,4,14,50,47,3,12,57,85,173,177,426,369,648,815,748,1268,1565,1761,2019,2056,2817,3028,2965,1729,2226,2956,2409,1674,1747,689,874,588,398,448,269,264,82,79,27,25,13,24,21,31,18,6,2,41,0,0,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,0,0,0,0,0,0,1,0,0,33,18,6,0,0,0,3,8,0,0,0,4,27,0,16,0,160,0,58,396,0,0,42,0,80,83,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,12,0,118,4,123,0,0,1,2,0,0,0,7,0,0,22,64,0,59,0,17,0,5,0,69,3,0,0,12,15,0,18,29,21,0,9,11,0,5,17,0,0,10,9,7,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,4,1,3,0,2,4,0,19,0,0,14,16,1,0,3,13,15,10,29,4,50,72,46,79,107,245,107,246,386,582,771,881,1213,1365,1575,2144,1962,1541,2618,2500,1104,1882,1303,966,811,452,584,382,261,185,217,119,153,81,23,327,15,6,24,44,11,14,37,4,45,51,38,50,0,8,6,22,10,0,0,23,0,0,1,48,0,27,0,0,0,4,0,0,0,0,0,13,2,0,0,48,0,0,9,2,0,0,0,1,0,14,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,46,0,0,0,0,0,0,0,0,0,24,0,0,0,0,33,0,0,0,0,2,0,0,7,4,0,0,0,0,0,42,0,0,0,0,9,0,0,0,6,16,1,68,0,0,1,69,0,0,13,0,134,16,24,0,5,453,43,182,0,3608,0,149,204,475,861,10,295,340,2626,143,0,666,147,201,82,1,60,88,17,50,57,54,24,0,19,1,26,0,0,67,0,0,4,28,0,2,1,17,22,13,6,20,1,0,0,8,6,0,0,8,0,0,0,9,0,8,0,0,0,2,0,0,0,0,0,6,1,0,0,15,0,0,3,0,0,0,0,0,0,7,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,1,1,1,2,0,2,4,1,23,0,0,8,16,2,1,7,17,13,15,21,12,17,71,41,76,85,262,113,299,484,696,763,933,1331,1402,1451,1982,1876,1497,2447,2458,1100,1871,1446,1071,824,406,583,376,241,164,226,111,162,82,26,317,6,12,28,55,9,17,33,1,61,31,41,29,2,5,6,21,5,0,0,26,0,1,2,33,0,29,1,0,0,6,0,0,1,0,0,5,0,0,0,22,0,0,11,0,1,0,0,2,0,19,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,24,0,0,1,0,0,0,0,9,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,17,0,0,1,0,43,0,0,1,0,3,1,0,3,2,0,0,0,0,0,67,0,0,0,0,9,0,0,0,10,25,1,57,0,0,0,56,0,0,6,0,261,20,20,0,7,403,57,190,1,3694,0,139,135,621,971,5,441,525,2297,155,0,619,189,175,81,0,60,97,11,60,57,51,19,0,14,0,18,0,0,75,0,0,5,19,0,1,1,12,10,11,7,19,0,2,1,7,3,0,0,9,0,0,0,7,0,7,0,0,0,0,0,1,0,0,0,7,0,0,0,10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,5,14,3,12,2,2,4,16,17,51,2,6,40,56,13,18,100,66,161,176,408,469,654,852,756,1258,1503,1614,2195,2201,2610,2919,3010,1721,2123,2988,2571,1767,1790,721,936,506,456,315,263,256,79,69,34,24,26,28,12,26,14,10,5,47,0,0,2,7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,6,0,0,0,0,9,4,2,0,0,18,3,6,0,2,0,4,12,0,5,0,2,38,0,13,0,164,0,60,353,0,0,39,0,109,37,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,1,0,259,0,113,0,3,0,1,1,0,0,0,0,0,31,37,0,30,0,19,0,7,0,92,0,0,0,5,21,0,8,56,27,0,3,1,0,4,31,0,1,7,20,2,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,4,5,12,0,6,9,5,49,0,0,39,45,1,2,15,18,37,38,63,8,39,139,80,157,162,337,134,339,493,816,947,1041,1378,1260,1584,2351,1829,1278,2297,2067,953,1200,1146,794,534,427,503,334,171,136,165,91,126,65,47,291,16,10,19,29,2,11,21,6,34,45,19,39,0,7,1,5,4,0,0,8,0,0,1,26,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,0,3,0,2,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,33,0,0,0,4,0,2,4,0,12,4,14,0,11,57,31,32,6,222,0,72,836,103,225,14,2993,395,1114,273,2,4521,397,376,152,0,143,178,33,131,120,101,34,0,41,9,49,4,0,140,0,0,5,29,7,8,2,21,23,43,28,23,0,3,1,16,9,0,0,13,0,0,2,37,0,21,0,0,0,5,0,0,0,0,0,5,2,0,0,32,0,0,9,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,3,4,10,10,5,2,2,30,11,51,2,13,30,61,9,25,71,35,101,110,153,116,190,497,338,658,709,963,1174,1109,1629,1993,2510,1958,2217,2793,2205,2012,1906,1569,1693,1177,1085,529,679,621,364,379,227,219,125,43,56,39,43,23,14,605,0,0,3,46,5,3,185,33,46,139,125,98,0,7,0,46,14,0,0,98,0,0,0,162,0,130,0,0,0,4,0,8,0,0,0,33,8,0,0,73,0,0,61,11,0,0,0,0,0,116,0,4,29,0,0,0,0,0,0,82,0,0,0,0,0,11,0,0,0,0,0,131,0,0,0,0,0,0,0,329,0,0,0,0,0,0,3,0,0,33,0,0,0,0,0,0,0,0,0,55,0,0,0,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,15,0,0,5,0,11,20,22,0,3,148,33,128,3,438,0,137,105,0,347,0,76,24,0,182,0,252,0,106,133,0,0,43,0,60,31,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,2,0,17,1,30,0,0,0,0,0,0,0,3,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,3,3,7,3,7,1,11,33,13,59,0,4,33,52,3,8,33,35,74,84,130,105,228,484,474,852,936,1498,1717,1585,2426,2552,3176,2345,2717,2419,2131,1687,1259,1050,755,502,379,175,126,171,59,133,100,42,30,11,12,12,11,3,2,250,0,0,0,10,0,0,77,6,6,590,17,105,0,0,0,5,1,0,0,22,0,0,0,161,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,8,0,0,0,0,0,0,77,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,34,0,0,0,0,0,0,11,0,0,36,0,0,0,0,0,0,0,0,0,37,0,0,0,0,53,0,0,0,0,0,0,0,5,3,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,10,0,35,0,0,0,46,0,0,0,0,16,18,8,0,1,60,185,45,0,6,0,98,522,0,13,0,42,65,0,47,0,1781,0,386,691,0,0,68,0,98,41,6,0,0,0,0,0,0,0,417,0,0,0,1,0,0,0,80,6,102,21,86,0,0,0,1,0,0,0,7,0,0,0,39,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,28,0,0,4,1,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,3,4,22,11,36,5,15,55,19,65,3,10,66,89,19,16,415,115,395,241,447,282,365,902,430,552,639,1060,742,961,1370,1697,1607,1285,1592,1484,1285,1066,841,657,790,661,399,479,504,466,319,202,255,258,135,60,157,74,176,85,27,270,8,10,33,70,32,28,35,1,96,54,54,43,5,29,9,50,29,0,0,27,0,0,10,30,0,44,0,0,0,24,0,2,0,0,0,34,8,0,0,48,0,0,44,26,0,0,3,0,0,31,3,6,30,0,6,1,0,0,0,74,0,0,0,4,0,12,0,0,0,11,0,103,0,6,0,44,0,8,0,99,0,0,0,0,0,0,671,8,0,40,0,0,0,0,0,0,0,291,0,610,0,0,0,0,66,0,0,1,0,14,0,0,321,227,0,0,0,0,0,159,0,0,0,22,327,0,0,0,114,2594,23,636,0,0,0,2049,0,0,7,0,1014,488,84,0,5,397,435,481,0,65,0,174,107,0,84,0,52,71,0,81,0,90,0,35,22,0,0,46,0,48,4,9,1,0,1,1,0,0,0,94,0,0,0,0,0,0,0,8,0,18,0,29,0,0,0,0,0,0,0,0,0,0,0,34,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
